thingId;G;F;D
28952;0.46;0.5;0.92
28953;0.48;0.5;0.95
28954;0.48;0.51;0.94
28955;0.49;0.51;0.96
28956;0.44;0.45;0.97
28957;0.47;0.5;0.94
28958;0.91;0.91;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.91;0.91;1.0
28962;0.9;0.9;1.0
28963;0.91;0.91;1.0
28964;0.9;0.9;1.0
28965;0.44;0.44;1.0
28966;0.48;0.48;1.0
28967;0.44;0.44;1.0
28968;0.49;0.49;1.0
28969;0.44;0.44;1.0
28970;0.5;0.5;1.0
28971;0.47;0.47;1.0
28972;0.45;0.45;1.0
28973;0.5;0.5;1.0
28974;0.44;0.44;1.0
28975;0.46;0.46;1.0
28976;0.47;0.47;1.0
28977;0.44;0.44;1.0
28978;0.43;0.43;1.0
28979;0.45;0.45;1.0
28980;0.39;0.39;1.0
28981;0.45;0.45;1.0
28982;0.49;0.49;1.0
28983;0.47;0.47;1.0
28984;0.44;0.44;1.0
28985;0.4;0.4;1.0
28986;0.45;0.45;1.0
28987;0.45;0.45;1.0
28938;0.88;0.9;0.97
28939;0.88;0.9;0.97
28940;0.88;0.9;0.98
28941;0.88;0.9;0.98
28942;0.88;0.9;0.98
28943;0.44;0.45;0.96
28944;0.44;0.45;0.98
28945;0.45;0.46;0.97
28946;0.45;0.46;0.98
28947;0.47;0.48;0.99
28948;0.47;0.49;0.97
28949;0.43;0.44;0.97
28950;0.45;0.46;0.98
28951;0.46;0.47;0.98
28952;0.46;0.48;0.95
28953;0.47;0.49;0.97
28954;0.46;0.47;0.97
28955;0.48;0.49;0.98
28956;0.44;0.45;0.98
28957;0.47;0.49;0.97
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.45;0.45;1.0
28966;0.47;0.47;1.0
28967;0.47;0.47;1.0
28968;0.46;0.46;1.0
28969;0.44;0.44;1.0
28970;0.48;0.48;1.0
28971;0.46;0.46;1.0
28972;0.44;0.44;1.0
28973;0.47;0.47;1.0
28974;0.43;0.43;1.0
28975;0.46;0.46;1.0
28976;0.47;0.47;1.0
28977;0.47;0.47;1.0
28978;0.45;0.45;1.0
28979;0.46;0.46;1.0
28980;0.42;0.42;1.0
28981;0.46;0.46;1.0
28982;0.46;0.46;1.0
28983;0.47;0.47;1.0
28984;0.44;0.44;1.0
28985;0.43;0.43;1.0
28986;0.42;0.42;1.0
28987;0.45;0.45;1.0
28938;0.88;0.9;0.98
28939;0.88;0.9;0.98
28940;0.89;0.9;0.99
28941;0.89;0.9;0.99
28942;0.88;0.9;0.98
28943;0.46;0.47;0.98
28944;0.46;0.46;0.99
28945;0.45;0.46;0.98
28946;0.46;0.47;0.99
28947;0.48;0.49;0.99
28948;0.45;0.46;0.98
28949;0.44;0.45;0.98
28950;0.46;0.47;0.99
28951;0.46;0.46;0.99
28952;0.46;0.47;0.97
28953;0.46;0.47;0.98
28954;0.46;0.47;0.99
28955;0.46;0.47;0.99
28956;0.46;0.47;0.99
28957;0.47;0.48;0.98
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.46;0.46;1.0
28966;0.46;0.46;1.0
28967;0.46;0.46;1.0
28968;0.46;0.46;1.0
28969;0.45;0.45;1.0
28970;0.47;0.47;1.0
28971;0.47;0.47;1.0
28972;0.45;0.45;1.0
28973;0.46;0.46;1.0
28974;0.44;0.44;1.0
28975;0.45;0.45;1.0
28976;0.45;0.45;1.0
28977;0.45;0.45;1.0
28978;0.45;0.45;1.0
28979;0.47;0.47;1.0
28980;0.42;0.42;1.0
28981;0.46;0.46;1.0
28982;0.46;0.46;1.0
28983;0.48;0.48;1.0
28984;0.45;0.45;1.0
28985;0.43;0.43;1.0
28986;0.43;0.43;1.0
28987;0.44;0.44;1.0
28938;0.89;0.9;0.99
28939;0.89;0.9;0.99
28940;0.89;0.9;0.99
28941;0.89;0.9;0.99
28942;0.89;0.9;0.99
28943;0.46;0.47;0.98
28944;0.46;0.46;0.99
28945;0.46;0.47;0.99
28946;0.48;0.48;1.0
28947;0.46;0.47;0.99
28948;0.46;0.46;0.99
28949;0.44;0.44;0.99
28950;0.46;0.47;0.99
28951;0.46;0.46;0.99
28952;0.44;0.45;0.98
28953;0.45;0.45;0.99
28954;0.47;0.48;0.99
28955;0.46;0.46;0.99
28956;0.45;0.45;0.99
28957;0.45;0.45;0.99
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.47;0.47;1.0
28966;0.46;0.46;1.0
28967;0.46;0.46;1.0
28968;0.46;0.46;1.0
28969;0.46;0.46;1.0
28970;0.45;0.45;1.0
28971;0.47;0.47;1.0
28972;0.45;0.45;1.0
28973;0.46;0.46;1.0
28974;0.45;0.45;1.0
28975;0.46;0.46;1.0
28976;0.45;0.45;1.0
28977;0.45;0.45;1.0
28978;0.45;0.45;1.0
28979;0.46;0.46;1.0
28980;0.44;0.44;1.0
28981;0.46;0.46;1.0
28982;0.46;0.46;1.0
28983;0.47;0.47;1.0
28984;0.44;0.44;1.0
28985;0.43;0.43;1.0
28986;0.43;0.43;1.0
28987;0.43;0.43;1.0
28938;0.89;0.9;0.99
28939;0.89;0.9;0.99
28940;0.89;0.9;0.99
28941;0.89;0.9;0.99
28942;0.89;0.9;0.99
28943;0.46;0.47;0.99
28944;0.46;0.46;0.99
28945;0.46;0.47;0.99
28946;0.47;0.47;1.0
28947;0.46;0.46;1.0
28948;0.45;0.45;0.99
28949;0.45;0.45;0.99
28950;0.46;0.47;0.99
28951;0.46;0.46;0.99
28952;0.45;0.45;0.99
28953;0.45;0.45;0.99
28954;0.46;0.47;0.99
28955;0.46;0.46;0.99
28956;0.45;0.45;0.99
28957;0.46;0.46;0.99
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.47;0.47;1.0
28966;0.47;0.47;1.0
28967;0.47;0.47;1.0
28968;0.48;0.48;1.0
28969;0.46;0.46;1.0
28970;0.45;0.45;1.0
28971;0.47;0.47;1.0
28972;0.45;0.45;1.0
28973;0.47;0.47;1.0
28974;0.46;0.46;1.0
28975;0.45;0.45;1.0
28976;0.46;0.46;1.0
28977;0.45;0.45;1.0
28978;0.46;0.46;1.0
28979;0.45;0.45;1.0
28980;0.45;0.45;1.0
28981;0.46;0.46;1.0
28982;0.45;0.45;1.0
28983;0.47;0.47;1.0
28984;0.44;0.44;1.0
28985;0.44;0.44;1.0
28986;0.44;0.44;1.0
28987;0.45;0.45;1.0
28938;0.89;0.9;0.99
28939;0.89;0.9;0.99
28940;0.9;0.9;1.0
28941;0.89;0.9;0.99
28942;0.89;0.9;0.99
28943;0.46;0.47;0.99
28944;0.46;0.46;0.99
28945;0.46;0.46;0.99
28946;0.47;0.47;1.0
28947;0.45;0.45;1.0
28948;0.46;0.46;0.99
28949;0.44;0.44;0.99
